"citation_number","citation_issued_datetime","violation","violation_desc","citation_location","vehicle_plate_state","vehicle_plate","fine_amount","date_added","the_geom",":@computed_region_jwn9_ihcz",":@computed_region_6qbp_sg9q",":@computed_region_qgnn_b9vv",":@computed_region_26cr_cadq",":@computed_region_ajp5_b2md"
"773014071","2009-10-23T07:17:00.000","T37C","ST CLEANIN","1746 20TH AVE","CA","5GSH950","53","2009-10-23T00:00:00.000","POINT (-122.47732297599998 37.75528498800003)","39","39","10","7","35"
"772980633","2009-10-26T13:08:00.000","T202","PRK METER","1 AVILA ST","CA","6CXJ689","53","2009-10-26T00:00:00.000","POINT (-122.44037753299995 37.80034569500003)","17","17","4","6","13"
"770878975","2009-09-10T23:18:00.000","T38C","WHITE ZONE","440 GEARY ST","CA","6GOF832","88","2009-09-10T00:00:00.000","POINT (-122.41063202799995 37.78733998400003)","50","50","6","3","36"
"769509403","2009-09-02T15:08:00.000","T202","PRK METER","79 GREEN ST","CA","4JMY015","53","2009-09-02T00:00:00.000","POINT (-122.40111960399997 37.80042451700007)","77","77","6","3","8"
"772955396","2009-10-23T10:33:00.000","T37C","ST CLEANIN","717 ELIZABETH ST","CA","5WZT556","53","2009-10-23T00:00:00.000",,,,,,
"770734204","2009-09-09T09:37:00.000","T37C","ST CLEANIN","120 VIDAL DR","CA","6AQD123","53","2009-09-09T00:00:00.000","POINT (-122.484828274 37.72058756000007)","42","42","10","8","16"
"771256581","2009-09-18T03:12:00.000","T37C","ST CLEANIN","901 TARAVAL ST","CA","6N90192","53","2009-09-18T00:00:00.000","POINT (-122.47586997299999 37.74279398300007)","40","40","10","7","35"
"769769755","2009-09-01T12:15:00.000","T37C","ST CLEANIN","650 KIRKHAM ST","CA","5LBX544","53","2009-09-01T00:00:00.000","POINT (-122.46793901699999 37.76037301300005)","109","109","10","8","14"
"772978776","2009-10-30T12:32:00.000","T315A","RESIDENTL","200 GENEVA AVE","CA","5SFD587","63","2009-10-30T00:00:00.000","POINT (-122.44926222899994 37.72165136500007)","81","81","10","1","24"
"771176965","2009-09-15T12:31:00.000","T37C","ST CLEANIN","1335 42ND AVE","CA","6HKA454","53","2009-09-15T00:00:00.000","POINT (-122.50195898199996 37.761779999000055)","39","39","10","7","35"
"768642534","2009-09-02T12:43:00.000","T38B.1","YL ZN OT/D","437 CASTRO ST","CA","6HKC761","73","2009-09-02T00:00:00.000","POINT (-122.43503868599998 37.76192020800005)","38","38","3","5","5"
"772603893","2009-10-24T11:14:00.000","T202.1","PRK MTR #1","221 DRUMM ST","CA","6BOT232","63","2009-10-24T00:00:00.000","POINT (-122.396863699 37.79561197000004)","108","108","6","3","8"
"770682883","2009-09-14T12:23:00.000","T315A","RESIDENTL","345 FRANCISCO ST","CA","5AQA885","63","2009-09-14T00:00:00.000","POINT (-122.41072689999999 37.804968202000055)","106","106","6","3","23"
"770883551","2009-09-18T14:16:00.000","T315A","RESIDENTL","1374 05TH  AVE","CA","6JJP625","63","2009-09-18T00:00:00.000","POINT (-122.37260864499996 37.83194333900008)","36","36","1","10","37"
"770749000","2009-09-18T12:08:00.000","T315A","RESIDENTL","323 14TH AVE","CA","5LDN205","63","2009-09-18T00:00:00.000","POINT (-122.47318700999995 37.78210598900006)","5","5","8","4","29"
"770903405","2009-09-07T15:38:00.000","T202.1","PRK MTR #1","2 O'FARRELL ST","CA","6Z96248","63","2009-09-07T00:00:00.000","POINT (-122.40495191299999 37.78690040600003)","19","19","6","3","8"
"772593194","2009-10-29T16:10:00.000","T32A.1","TWAWY ZN#1","905 SACRAMENTO ST","CA","B07AK","83","2009-10-29T00:00:00.000","POINT (-122.40781926399995 37.79310277800005)","16","16","6","3","6"
"770938991","2009-09-12T13:05:00.000","T202","PRK METER","725 TARAVAL ST","CA","6GET836","53","2009-09-12T00:00:00.000","POINT (-122.474027966 37.74287499400003)","46","46","10","8","41"
"770461241","2009-09-04T07:29:00.000","T32B","PROHIB PRK","5 MOJAVE ST","CA","4AUD476","73","2009-09-04T00:00:00.000",,,,,,
"770553011","2009-09-03T06:40:00.000","T37C","ST CLEANIN","140 TAYLOR ST","CA","6EWT409","53","2009-09-03T00:00:00.000","POINT (-122.41079965499995 37.78364511600006)","20","20","5","10","36"
"771366643","2009-09-18T12:09:00.000","T37C","ST CLEANIN","20 DE SOTO ST","CA","4AWE002","53","2009-09-18T00:00:00.000",,,,,,
"770408004","2009-09-18T16:21:00.000","T32A.1","TWAWY ZN#1","536 SUTTER ST","CA","6AAC653","73","2009-09-18T00:00:00.000","POINT (-122.409311963 37.78942100100005)","19","19","6","3","21"
"770515465","2009-09-04T07:43:00.000","T37C","ST CLEANIN","2627 VICENTE ST","CA","6GHL330","53","2009-09-04T00:00:00.000",,,,,,
"11198854J","2009-10-22T19:00:00.000","V21113A","SCH/PUB GD","50 PHELAN AVE.","CA","5EXR822","58","2009-10-22T00:00:00.000","POINT (-122.45229641599997 37.72393379300007)","95","95","9","8","41"
"770534903","2009-09-11T12:37:00.000","T202.1","PRK MTR #1","1178 HOWARD ST","CA","6EXT819","63","2009-09-11T00:00:00.000","POINT (-122.41094949999996 37.77680178900005)","32","32","1","10","34"
"769884356","2009-09-18T00:40:00.000","T37C","ST CLEANIN","580 DELANCEY ST","CA","6CQX323","53","2009-09-18T00:00:00.000","POINT (-122.39012741599998 37.78376861000004)","31","31","1","10","8"
"770889512","2009-09-16T12:57:00.000","T58A","BLK WHEELS","610 FELL ST","CA","4ZED177","48","2009-09-16T00:00:00.000","POINT (-122.42794141499996 37.775372780000055)","22","22","4","11","9"
"842288845","2014-06-07T14:19:00.000","V22500F","ON SIDEWLK","408 SOMERSET ST","CA","4FJY956","110","2018-08-06T00:00:00.000",,,,,,
"1003702114","2016-04-25T13:10:00.000","TRC7.2.44A","ON ST LST","617 2ND ST","CA","5ARU718","875.0","2020-09-15T00:00:00.000",,,,,,
"773062065","2009-10-28T13:22:00.000","T202.1","PRK MTR #1","411 COLUMBUS AVE","CA","6AKK002","63","2009-10-28T00:00:00.000","POINT (-122.40855499299994 37.798877004000076)","106","106","6","3","6"
"771400022","2009-09-19T16:31:00.000","T202.1","PRK MTR #1","105 JACKSON ST","TX","RKV764","63","2009-09-19T00:00:00.000","POINT (-122.39842547599994 37.796994823000034)","77","77","6","3","8"
"770677821","2009-09-10T10:41:00.000","T202","PRK METER","2308 CHESTNUT ST","CA","4MKA372","53","2009-09-10T00:00:00.000","POINT (-122.44139363599999 37.80023685500004)","17","17","4","6","13"
"770482311","2009-09-01T12:37:00.000","T315A","RESIDENTL","596 14TH ST","CA","4ALZ667","63","2009-09-01T00:00:00.000","POINT (-122.42650074299996 37.767967644000066)","37","37","3","5","20"
"771008906","2009-09-14T19:35:00.000","V22500E","DRIVEWAY","427 MISSOURI ST","CA","5MQA971","88","2009-09-14T00:00:00.000",,,,,,
"772458680","2009-10-31T11:58:00.000","T202","PRK METER","3334 17TH ST","CA","6EDX881","53","2009-10-31T00:00:00.000","POINT (-122.42035000699997 37.76354598200004)","53","53","3","2","20"
"PD20487132","2009-09-11T04:53:00.000","V5204A","REG TABS","BRANNAN ST.","CA","SCURRY","63","2009-09-11T00:00:00.000","POINT (-122.39451819699997 37.77993630900005)","32","32","1","10","34"
"770187143","2009-09-01T23:41:00.000","V22500F","ON SIDEWLK","3347 21ST ST","GA","AYY8672","103","2009-09-01T00:00:00.000","POINT (-122.42217801599998 37.756592984000065)","52","52","3","5","20"
"772862904","2009-10-24T11:07:00.000","T202","PRK METER","2426 CLEMENT ST","CA","4CTZ330","53","2009-10-24T00:00:00.000","POINT (-122.48519853099998 37.78207753100003)","8","8","8","4","29"
"771012686","2009-09-17T12:50:00.000","T315A","RESIDENTL","58 ELIZABETH ST","CA","5YFP192","63","2009-09-17T00:00:00.000",,,,,,
"770502633","2009-09-02T12:13:00.000","T37C","ST CLEANIN","381 TOMPKINS AVE","WA","064WYT","53","2009-09-02T00:00:00.000",,,,,,
"770860985","2009-09-18T19:04:00.000","V22500B","PK/CROSS","400 ARGUELLO BLVD","CA","6AQW508","88","2009-09-18T00:00:00.000",,,,,,
"770572891","2009-09-09T12:43:00.000","T202","PRK METER","424 HAYES ST","CA","5YFN591","53","2009-09-09T00:00:00.000","POINT (-122.42352599399999 37.777063017000046)","22","22","4","11","9"
"772591842","2009-10-27T14:08:00.000","T315A","RESIDENTL","1371 08TH AVE","CA","4XEN017","63","2009-10-27T00:00:00.000",,,,,,
"769667430","2009-09-08T00:43:00.000","T37C","ST CLEANIN","795 CLEMENTINA ST","CA","6R42233","53","2009-09-08T00:00:00.000","POINT (-122.41200831599997 37.77422739700006)","32","32","1","10","34"
"770542415","2009-09-04T16:15:00.000","T202","PRK METER","3207 PIERCE ST","CA","6HGP198","53","2009-09-04T00:00:00.000","POINT (-122.43955202499995 37.79967600800006)","17","17","4","6","13"
"770516261","2009-09-01T12:22:00.000","T38B","YEL ZONEDN","105 NATOMA ST","OR","255CDT","73","2009-09-01T00:00:00.000","POINT (-122.39889409999995 37.78706178900006)","32","32","1","10","8"
"769820100","2009-09-16T18:07:00.000","V5204A","REG TABS","55 COLUMBIA SQUARE ST","CA","5NEG229","63","2009-09-16T00:00:00.000","POINT (-122.40560659799996 37.77726513700003)","32","32","1","10","34"
"770188646","2009-09-01T17:45:00.000","T202","PRK METER","503 HAYES ST","CA","805BET","53","2009-09-01T00:00:00.000","POINT (-122.42476258699998 37.77657628800006)","22","22","4","11","9"
"770526315","2009-09-15T11:02:00.000","T202.1","PRK MTR #1","211 EMBARCADERO SOUTH","CA","5TEL813","63","2009-09-15T00:00:00.000","POINT (-122.39444325399995 37.795990060000065)","108","108","6","3","8"
"771191293","2009-09-19T11:28:00.000","T202","PRK METER","449 VALENCIA ST","CA","5XVZ994","53","2009-09-19T00:00:00.000","POINT (-122.42190246099995 37.76582978500005)","53","53","3","2","20"
"770994755","2009-09-16T17:35:00.000","T32A.1","TWAWY ZN#1","361 BUSH ST","CA","5ZZL010","73","2009-09-16T00:00:00.000",,,,,,
"770850360","2009-09-14T18:04:00.000","T32A.1","TWAWY ZN#1","70 HOWARD ST","CA","6JDJ511","73","2009-09-14T00:00:00.000","POINT (-122.39204348699997 37.79179098900005)","108","108","1","10","8"
"772657163","2009-10-23T13:05:00.000","T315A","RESIDENTL","228 SANCHEZ ST","CA","3SGK141","63","2009-10-23T00:00:00.000","POINT (-122.43141797499999 37.76509198300005)","38","38","3","5","5"
"771148276","2009-09-16T13:15:00.000","V22500H","DBL PARK","75 COLIN P KELLY JR ST","CA","6GJP885","78","2009-09-16T00:00:00.000","POINT (-122.39009965799994 37.781602932000055)","31","31","1","10","8"
"770521043","2009-09-12T11:21:00.000","T202","PRK METER","3430 18TH ST","CA","6AJA202","53","2009-09-12T00:00:00.000","POINT (-122.42027028199999 37.761852119000025)","53","53","3","2","20"
"770288234","2009-09-11T11:19:00.000","T202","PRK METER","3429 20TH ST","CA","1MOA372","53","2009-09-11T00:00:00.000","POINT (-122.41747803199996 37.75850301000003)","53","53","3","2","20"
"30691113T","2009-09-10T09:28:00.000","TC127D","FAILTODISP","MEZZANINE",,,"75","2009-09-10T00:00:00.000","POINT (-122.40810999999997 37.782620000000065)","32","32","5","10","34"
"773133211","2009-10-30T08:21:00.000","T37C","ST CLEANIN","749 COLE ST","CA","NTYPWR","53","2009-10-30T00:00:00.000","POINT (-122.45041815399998 37.76771491400007)","29","29","7","11","3"
"771074802","2009-09-16T11:58:00.000","T202.1","PRK MTR #1","89 SPEAR ST","CA","8N68605","63","2009-09-16T00:00:00.000","POINT (-122.39424276899996 37.792767326000046)","108","108","6","10","8"
"770738146","2009-09-07T12:47:00.000","T202","PRK METER","1298 10TH AVE","CA","5DYE597","53","2009-09-07T00:00:00.000","POINT (-122.46733503299998 37.764059675000055)","109","109","10","11","14"
"772952121","2009-10-23T12:29:00.000","T37C","ST CLEANIN","1001 BRODERICK ST","FL","987LIR","53","2009-10-23T00:00:00.000","POINT (-122.44048706099994 37.77947623800003)","13","13","7","6","39"
"772457615","2009-10-29T11:18:00.000","T38B.1","YL ZN OT/D","1019 VALENCIA ST","CA","500DWW","73","2009-10-29T00:00:00.000","POINT (-122.42101917299999 37.75659622400008)","53","53","3","2","20"
"770659831","2009-09-10T09:06:00.000","T58A","BLK WHEELS","838 ELLIS ST","CA","6FUR434","48","2009-09-10T00:00:00.000","POINT (-122.41998227199997 37.78402741100007)","20","20","4","10","36"
"770205240","2009-09-14T17:29:00.000","T202.1","PRK MTR #1","335 BROADWAY ST","CA","5PYT759","63","2009-09-14T00:00:00.000","POINT (-122.40277346099998 37.798308485000064)","106","106","6","3","23"
"772808923","2009-10-27T00:08:00.000","T37C","ST CLEANIN","945 BRYANT ST","CA","5ZAH479","53","2009-10-27T00:00:00.000","POINT (-122.40547003299997 37.77337598500003)","33","33","1","10","34"
"770384790","2009-09-01T11:50:00.000","T37C","ST CLEANIN","400 HUGO ST","CA","4SZS728","53","2009-09-01T00:00:00.000","POINT (-122.46216566099997 37.76521903100007)","109","109","7","11","14"
"771000451","2009-09-15T12:03:00.000","T202.1","PRK MTR #1","218 GOLDEN GATE AVE","CA","6AFB968","63","2009-09-15T00:00:00.000","POINT (-122.41419064999997 37.781898381000076)","20","20","5","10","36"
"PD20182573","2009-10-27T05:10:00.000","V5200A","PLT F/R","2135 BRYANT ST.","CA","5NKK298","103","2009-10-27T00:00:00.000",,,,,,
"770381651","2009-09-08T11:04:00.000","T202.1","PRK MTR #1","343 MAIN ST","CA","7V18181","63","2009-09-08T00:00:00.000","POINT (-122.39101515399994 37.78880647400007)","30","30","1","10","8"
"773070922","2009-10-28T09:58:00.000","T37C","ST CLEANIN","10 SHARON ST","CA","3S3060","53","2009-10-28T00:00:00.000","POINT (-122.43019999999996 37.765577001000054)","37","37","3","5","5"
"769823143","2009-09-03T15:20:00.000","T202","PRK METER","528 JEFFERSON ST","CA","5F08931","53","2009-09-03T00:00:00.000","POINT (-122.42141794199995 37.80758890200008)","99","99","6","6","32"
"770539151","2009-09-14T15:10:00.000","T202","PRK METER","924 HOWARD ST","CA","6EKW826","53","2009-09-14T00:00:00.000","POINT (-122.40562616799997 37.78104865300003)","32","32","1","10","34"
"770481014","2009-09-16T14:48:00.000","T32A.2","TWAWY ZONE","90 BOARDMAN PL","CA","4YRR552","73","2009-09-16T00:00:00.000","POINT (-122.40224087999997 37.77402335800008)","32","32","1","10","34"
"772712242","2009-10-24T11:31:00.000","T38A","RED ZONE","3200 OCTAVIA ST","CA","4YXV372","88","2009-10-24T00:00:00.000","POINT (-122.42961480699995 37.80171804200006)","17","17","4","6","13"
"770091070","2009-09-10T12:22:00.000","T202.1","PRK MTR #1","666 BRYANT ST","CA","5UHE210","63","2009-09-10T00:00:00.000",,,,,,
"772866603","2009-10-26T13:09:00.000","T202","PRK METER","3929 24TH ST","CA","6FRU811","53","2009-10-26T00:00:00.000","POINT (-122.43034400199997 37.751273996000066)","84","84","3","5","22"
"770682791","2009-09-14T11:43:00.000","T315A","RESIDENTL","95 CHESTNUT ST","CA","5XWK304","63","2009-09-14T00:00:00.000","POINT (-122.40501557099998 37.80472393800005)","77","77","6","3","8"
"770573403","2009-09-11T10:24:00.000","T32.10","OFF ST PRK","320 CLEMENT ST","CA","8T90593","53","2009-09-11T00:00:00.000","POINT (-122.46263015099998 37.78309933000003)","5","5","8","4","11"
"772852614","2009-10-31T11:14:00.000","T202","PRK METER","528 SHRADER ST","CA","5LQB194","53","2009-10-31T00:00:00.000","POINT (-122.45165700199999 37.76988500600004)","25","25","7","11","3"
"772400845","2009-10-22T15:23:00.000","T32A.2","TWAWY ZONE","490 MCALLISTER ST","CA","5SCY560","73","2009-10-22T00:00:00.000","POINT (-122.41990501199996 37.78040500700007)","21","21","4","10","36"
"772733415","2009-10-22T19:38:00.000","T38C","WHITE ZONE","750 SUTTER ST","CA","6JWY115","88","2009-10-22T00:00:00.000","POINT (-122.41275298499994 37.788857989000064)","50","50","6","3","21"
"769921622","2009-09-11T17:12:00.000","T202","PRK METER","1624 VALENCIA ST","CA","5FFV953","53","2009-09-11T00:00:00.000","POINT (-122.42019159299997 37.74627454100005)","83","83","9","2","2"
"769764940","2009-09-02T12:23:00.000","T202.1","PRK MTR #1","816 MONTGOMERY ST","CA","5WAZ229","63","2009-09-02T00:00:00.000","POINT (-122.40344546999995 37.79655626600004)","106","106","6","3","6"
"30691032T","2009-09-09T08:17:00.000","TC127D","FAILTODISP","TRAIN",,,"75","2009-09-09T00:00:00.000","POINT (-122.41963999999996 37.777120000000025)","21","21","4","10","36"
"773006673","2009-10-27T12:22:00.000","T37C","ST CLEANIN","1132 PAGE ST","CA","5YPG358","53","2009-10-27T00:00:00.000",,,,,,
"773018433","2009-10-27T09:40:00.000","T37C","ST CLEANIN","158 07TH AVE","CA","3BCB912","53","2009-10-27T00:00:00.000",,,,,,
"769769711","2009-09-01T11:50:00.000","T37C","ST CLEANIN","350 HUGO ST","CA","5KRU209","53","2009-09-01T00:00:00.000","POINT (-122.46157695299996 37.76524208100005)","109","109","7","11","14"
"770313423","2009-09-10T06:21:00.000","T37C","ST CLEANIN","2399 BUCHANAN ST","CA","6DRN755","53","2009-09-10T00:00:00.000","POINT (-122.43112682099996 37.79195342600008)","102","102","4","6","30"
"772450066","2009-10-27T13:27:00.000","V5200","NO PLATES","2280 BAY ST","CA","6JTN767","103","2009-10-27T00:00:00.000","POINT (-122.44456800699999 37.80181498600007)","17","17","4","6","13"
"772095133","2009-10-27T12:13:00.000","T202","PRK METER","1621 VAN NESS AVE","CA","5YQS718","53","2009-10-27T00:00:00.000","POINT (-122.42250747599996 37.79056303800007)","102","102","4","6","30"
"770214163","2009-09-10T11:20:00.000","T202","PRK METER","5503 GEARY ST","CA","8J33462","53","2009-09-10T00:00:00.000","POINT (-122.478418552 37.78025486900003)","8","8","8","4","29"
"773080733","2009-10-29T10:17:00.000","T37C","ST CLEANIN","1406 FULTON ST","CA","5WEJ720","53","2009-10-29T00:00:00.000",,,,,,
"770994766","2009-09-16T17:39:00.000","T32A.1","TWAWY ZN#1","440 PINE ST","CA","4NNL254","73","2009-09-16T00:00:00.000","POINT (-122.40320101399999 37.79190533000008)","108","108","6","3","8"
"770589326","2009-09-07T16:16:00.000","T202.1","PRK MTR #1","69 HOWARD ST","CA","3CLB339","63","2009-09-07T00:00:00.000","POINT (-122.39179618399999 37.79181558400006)","108","108","1","10","8"
"770566392","2009-09-03T07:22:00.000","T37C","ST CLEANIN","4150 JUDAH ST","CA","6FJY537","53","2009-09-03T00:00:00.000","POINT (-122.50680196199994 37.76056500000004)","39","39","10","7","35"
"773054041","2009-10-29T10:25:00.000","V22500F","ON SIDEWLK","685 MARKET ST","CA","5B75822","103","2009-10-29T00:00:00.000","POINT (-122.40252102799997 37.78765799400003)","32","32","6","10","8"
"770928712","2009-09-17T09:53:00.000","T37C","ST CLEANIN","3901 WASHINGTON ST","CA","5LRK472","53","2009-09-17T00:00:00.000",,,,,,
"772709464","2009-10-30T12:26:00.000","T202","PRK METER","1206 SANSOME ST","CA","4VLW995","53","2009-10-30T00:00:00.000","POINT (-122.40273679599994 37.801396864000026)","77","77","6","3","8"
"770722212","2009-09-04T12:36:00.000","T37C","ST CLEANIN","470 OCTAVIA ST","AZ","AD83686","53","2009-09-04T00:00:00.000","POINT (-122.42428344299998 37.776501867000036)","22","22","4","11","9"
"773166122","2009-10-30T02:47:00.000","T37C","ST CLEANIN","310 POST ST","CA","6FCN373","53","2009-10-30T00:00:00.000","POINT (-122.40697003599996 37.78855392100007)","19","19","6","3","8"
"772800840","2009-10-27T14:30:00.000","T202.1","PRK MTR #1","305 GOLDEN GATE AVE","CA","6HFW154","63","2009-10-27T00:00:00.000","POINT (-122.41564675999996 37.78155897200003)","21","21","5","10","36"
"772840832","2009-10-28T13:34:00.000","T315A","RESIDENTL","197 BAY ST","CA","6DAY283","63","2009-10-28T00:00:00.000","POINT (-122.41020123999999 37.805979353000055)","99","99","6","3","23"
"772517060","2009-10-30T13:50:00.000","T202.1","PRK MTR #1","124 STEUART ST","CA","6HFS508","63","2009-10-30T00:00:00.000","POINT (-122.39282466899999 37.79287866200008)","108","108","1","10","8"
"PD19034621","2009-09-11T04:18:00.000","V5204A","REG TABS","36TH AVE.","CA","6GEU764","63","2009-09-11T00:00:00.000",,,,,,
"767511006","2009-10-30T14:41:00.000","V5200","NO PLATES","1332 CABRILLO ST","CA","6KFD560","103","2009-10-30T00:00:00.000",,,,,,
"770971585","2009-09-17T14:25:00.000","T315A","RESIDENTL","711 LYON ST","CA","7Z26925","63","2009-09-17T00:00:00.000","POINT (-122.44369302099994 37.77754200100003)","97","97","7","11","18"
"770589492","2009-09-08T09:54:00.000","T202","PRK METER","1296 10TH AVE","CA","8B77672","53","2009-09-08T00:00:00.000","POINT (-122.46733561299999 37.764073618000054)","109","109","10","11","14"
"770846086","2009-09-09T13:25:00.000","T202","PRK METER","4302 GEARY ST","CA","6DSU535","53","2009-09-09T00:00:00.000","POINT (-122.46547507099996 37.78109779000005)","5","5","8","4","11"
"770254656","2009-09-02T13:44:00.000","T315A","RESIDENTL","1100 19TH ST","CA","3LRX945","63","2009-09-02T00:00:00.000","POINT (-122.39357660099995 37.761557863000064)","54","54","2","9","26"
"770473071","2009-09-07T15:14:00.000","T32A.1","TWAWY ZN#1","680 ILLINOIS ST","CA","6CAZ237","73","2009-09-07T00:00:00.000","POINT (-122.38799099899995 37.76351400500005)","55","55","2","9","26"
"766405614","2009-09-03T16:15:00.000","T202.1","PRK MTR #1","612 BUSH ST","CA","6HRY921","63","2009-09-03T00:00:00.000","POINT (-122.40741192099995 37.790413992000026)","16","16","6","3","21"
"770592583","2009-09-05T12:01:00.000","T202","PRK METER","290 05TH  AVE","CA","5Y29482","53","2009-09-05T00:00:00.000","POINT (-122.37160668999996 37.82018516800008)","36","36","1","10","37"
"770074631","2009-09-03T13:31:00.000","T202","PRK METER","122 FELL ST","CA","4ARG066","53","2009-09-03T00:00:00.000","POINT (-122.41989777399999 37.776399197000046)","21","21","4","11","9"
"770759205","2009-09-09T15:03:00.000","T202","PRK METER","1611 DIVISADERO ST","CA","8D41134","53","2009-09-09T00:00:00.000","POINT (-122.439754946 37.784439564000024)","103","103","4","11","15"
"770675544","2009-09-18T11:15:00.000","T202","PRK METER","1726 CLAY ST","CA","3412","53","2009-09-18T00:00:00.000","POINT (-122.42149153399998 37.792408247000026)","105","105","4","3","32"
"770511501","2009-09-03T09:58:00.000","T37C","ST CLEANIN","336 JULES AVE","CA","5UIT515","53","2009-09-03T00:00:00.000",,,,,,
"770069495","2009-09-03T12:42:00.000","T202","PRK METER","510 COLUMBUS AVE","CA","5YRC868","53","2009-09-03T00:00:00.000","POINT (-122.40910771099999 37.799667388000046)","106","106","6","3","23"
"768370750","2009-09-02T12:51:00.000","T38C","WHITE ZONE","888 BRANNAN ST","CA","4LMT410","88","2009-09-02T00:00:00.000","POINT (-122.405193011 37.77201501500008)","33","33","1","10","34"
"770656880","2009-09-07T11:50:00.000","T202","PRK METER","218 CLEMENT ST","CA","5SAU067","53","2009-09-07T00:00:00.000","POINT (-122.46180296099999 37.78331600000007)","5","5","8","4","11"
"770878485","2009-09-08T23:28:00.000","V5200","NO PLATES","720 07TH ST","CA","3JRC836","103","2009-09-08T00:00:00.000","POINT (-122.23006825399995 38.11090500200004)",,,,,
"770619430","2009-09-18T11:33:00.000","T202","PRK METER","2225 IRVING ST","CA","5JRP739","53","2009-09-18T00:00:00.000","POINT (-122.48180000199994 37.76311100400005)","39","39","10","7","35"
"771857892","2009-10-27T12:23:00.000","T202.1","PRK MTR #1","619 PACIFIC AVE","CA","8M85239","63","2009-10-27T00:00:00.000","POINT (-122.40578356699996 37.79694908700003)","104","104","6","3","6"
"1001059850","2009-09-01T17:58:00.000","T58A","BLK WHEELS","2806 OCTAVIA","CA","5CHF260","48","2009-09-01T00:00:00.000","POINT (-122.42886577099995 37.79806610700007)","15","15","4","6","13"
"770312712","2009-09-09T08:47:00.000","T37C","ST CLEANIN","221 TEXAS ST","CA","6HUC219","53","2009-09-09T00:00:00.000",,,,,,
"770063674","2009-09-02T10:02:00.000","T58A","BLK WHEELS","1020 HAIGHT ST","OR","597BRS","48","2009-09-02T00:00:00.000","POINT (-122.43930601599999 37.77126898400007)","112","112","7","11","3"
"PD19422255","2009-09-08T21:00:00.000","V5204A","REG TABS","2518 28TH AVE","CA","6AXW070","63","2009-09-08T00:00:00.000","POINT (-122.48484699199997 37.74036101000007)","40","40","10","7","35"
"770311824","2009-09-02T12:20:00.000","T37C","ST CLEANIN","2111 25TH ST","CA","5XOL785","53","2009-09-02T00:00:00.000",,,,,,
"773050773","2009-10-31T15:32:00.000","T202.1","PRK MTR #1","654 TOWNSEND ST","CA","4DRF089","63","2009-10-31T00:00:00.000","POINT (-122.40277742499995 37.77100296900005)","33","33","1","10","34"
